id,asunto,cuerpo,es_spam
1365,Consulta de seguimiento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1366,Consulta de seguimiento,Estos son los detalles de tu reserva para el evento del sábado...,0
1367,Confirmación de tu pedido,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1368,Invitación a evento,Estos son los detalles de tu reserva para el evento del sábado...,0
1369,Confirmación de tu pedido,"Hola, te confirmo que la reunión será el próximo lunes...",0
1370,Información importante sobre tu seguro,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1371,Actualización de política de privacidad,Te recordamos que tienes una cita médica programada para el martes...,0
1372,Información importante sobre tu seguro,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1373,Actualización de política de privacidad,"Hola, te confirmo que la reunión será el próximo lunes...",0
1374,Información importante sobre tu seguro,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1375,Actualización de política de privacidad,"Hola, te confirmo que la reunión será el próximo lunes...",0
1376,Información importante sobre tu seguro,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1377,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
1378,Recordatorio de cita médica,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1379,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1380,Información importante sobre tu seguro,Estás invitado a nuestro evento de networking el próximo viernes...,0
1381,Detalles de tu reserva,Aquí tienes el informe semanal de desempeño del equipo...,0
1382,Consulta de seguimiento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1383,Actualización de política de privacidad,Estás invitado a nuestro evento de networking el próximo viernes...,0
1384,Recordatorio de cita médica,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1385,Consulta de seguimiento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1386,Informe semanal de desempeño,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1387,Actualización de política de privacidad,Estás invitado a nuestro evento de networking el próximo viernes...,0
1388,Consulta de seguimiento,Aquí tienes el informe semanal de desempeño del equipo...,0
1389,Actualización de política de privacidad,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1390,Detalles de tu reserva,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1391,Consulta de seguimiento,Aquí tienes el informe semanal de desempeño del equipo...,0
1392,Confirmación de tu pedido,Estás invitado a nuestro evento de networking el próximo viernes...,0
1393,Confirmación de tu pedido,"Hola, te confirmo que la reunión será el próximo lunes...",0
1394,Reunión de trabajo,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1395,Reunión de trabajo,Estás invitado a nuestro evento de networking el próximo viernes...,0
1396,Recordatorio de cita médica,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1397,Detalles de tu reserva,Aquí tienes el informe semanal de desempeño del equipo...,0
1398,Actualización de política de privacidad,Aquí tienes el informe semanal de desempeño del equipo...,0
1399,Información importante sobre tu seguro,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1400,Reunión de trabajo,Estos son los detalles de tu reserva para el evento del sábado...,0
1401,Detalles de tu reserva,Estos son los detalles de tu reserva para el evento del sábado...,0
1402,Confirmación de tu pedido,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1403,Información importante sobre tu seguro,Estás invitado a nuestro evento de networking el próximo viernes...,0
1404,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
1405,Recordatorio de cita médica,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1406,Actualización de política de privacidad,Te recordamos que tienes una cita médica programada para el martes...,0
1407,Información importante sobre tu seguro,Estás invitado a nuestro evento de networking el próximo viernes...,0
1408,Actualización de política de privacidad,Estás invitado a nuestro evento de networking el próximo viernes...,0
1409,Informe semanal de desempeño,Estás invitado a nuestro evento de networking el próximo viernes...,0
1410,Resumen de cuenta mensual,Estás invitado a nuestro evento de networking el próximo viernes...,0
1411,Actualización de política de privacidad,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1412,Resumen de cuenta mensual,Estos son los detalles de tu reserva para el evento del sábado...,0
1413,Información importante sobre tu seguro,Aquí tienes el informe semanal de desempeño del equipo...,0
1414,Reunión de trabajo,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1415,Resumen de cuenta mensual,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1416,Confirmación de tu pedido,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1417,Actualización de política de privacidad,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1418,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1419,Detalles de tu reserva,Estos son los detalles de tu reserva para el evento del sábado...,0
1420,Consulta de seguimiento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1421,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1422,Confirmación de tu pedido,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1423,Información importante sobre tu seguro,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1424,Recordatorio de cita médica,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1425,Resumen de cuenta mensual,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1426,Actualización de política de privacidad,Estos son los detalles de tu reserva para el evento del sábado...,0
1427,Detalles de tu reserva,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1428,Consulta de seguimiento,Te recordamos que tienes una cita médica programada para el martes...,0
1429,Recordatorio de cita médica,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1430,Resumen de cuenta mensual,Aquí tienes el informe semanal de desempeño del equipo...,0
1431,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1432,Resumen de cuenta mensual,Estás invitado a nuestro evento de networking el próximo viernes...,0
1433,Información importante sobre tu seguro,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1434,Resumen de cuenta mensual,Estás invitado a nuestro evento de networking el próximo viernes...,0
1435,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
1436,Actualización de política de privacidad,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1437,Recordatorio de cita médica,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1438,Reunión de trabajo,Aquí tienes el informe semanal de desempeño del equipo...,0
1439,Información importante sobre tu seguro,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1440,Informe semanal de desempeño,Estos son los detalles de tu reserva para el evento del sábado...,0
1441,Recordatorio de cita médica,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1442,Detalles de tu reserva,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1443,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1444,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
1445,Información importante sobre tu seguro,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1446,Resumen de cuenta mensual,"Hola, te confirmo que la reunión será el próximo lunes...",0
1447,Informe semanal de desempeño,Aquí tienes el informe semanal de desempeño del equipo...,0
1448,Información importante sobre tu seguro,Estás invitado a nuestro evento de networking el próximo viernes...,0
1449,Actualización de política de privacidad,Te recordamos que tienes una cita médica programada para el martes...,0
1450,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1451,Actualización de política de privacidad,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1452,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
1453,Resumen de cuenta mensual,Aquí tienes el informe semanal de desempeño del equipo...,0
1454,Resumen de cuenta mensual,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1455,Detalles de tu reserva,Te recordamos que tienes una cita médica programada para el martes...,0
1456,Resumen de cuenta mensual,"Hola, te confirmo que la reunión será el próximo lunes...",0
1457,Detalles de tu reserva,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1458,Recordatorio de cita médica,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1459,Informe semanal de desempeño,"Hola, te confirmo que la reunión será el próximo lunes...",0
1460,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1461,Consulta de seguimiento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1462,Resumen de cuenta mensual,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1463,Reunión de trabajo,Aquí tienes el informe semanal de desempeño del equipo...,0
1464,Recordatorio de cita médica,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1465,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1466,Detalles de tu reserva,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1467,Invitación a evento,Estás invitado a nuestro evento de networking el próximo viernes...,0
1468,Resumen de cuenta mensual,Estos son los detalles de tu reserva para el evento del sábado...,0
1469,Resumen de cuenta mensual,Te recordamos que tienes una cita médica programada para el martes...,0
1470,Detalles de tu reserva,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1471,Detalles de tu reserva,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1472,Invitación a evento,Estás invitado a nuestro evento de networking el próximo viernes...,0
1473,Detalles de tu reserva,Te recordamos que tienes una cita médica programada para el martes...,0
1474,Recordatorio de cita médica,Estás invitado a nuestro evento de networking el próximo viernes...,0
1475,Actualización de política de privacidad,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1476,Detalles de tu reserva,"Hola, te confirmo que la reunión será el próximo lunes...",0
1477,Detalles de tu reserva,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1478,Confirmación de tu pedido,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1479,Detalles de tu reserva,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1480,Invitación a evento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1481,Recordatorio de cita médica,Estos son los detalles de tu reserva para el evento del sábado...,0
1482,Detalles de tu reserva,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1483,Información importante sobre tu seguro,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1484,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1485,Consulta de seguimiento,Te recordamos que tienes una cita médica programada para el martes...,0
1486,Confirmación de tu pedido,"Hola, te confirmo que la reunión será el próximo lunes...",0
1487,Información importante sobre tu seguro,Estás invitado a nuestro evento de networking el próximo viernes...,0
1488,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1489,Detalles de tu reserva,"Hola, te confirmo que la reunión será el próximo lunes...",0
1490,Detalles de tu reserva,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1491,Invitación a evento,Te recordamos que tienes una cita médica programada para el martes...,0
1492,Detalles de tu reserva,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1493,Detalles de tu reserva,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1494,Resumen de cuenta mensual,Aquí tienes el informe semanal de desempeño del equipo...,0
1495,Consulta de seguimiento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1496,Consulta de seguimiento,Te recordamos que tienes una cita médica programada para el martes...,0
1497,Informe semanal de desempeño,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1498,Recordatorio de cita médica,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1499,Recordatorio de cita médica,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1500,Resumen de cuenta mensual,"Hola, te confirmo que la reunión será el próximo lunes...",0
1501,Recordatorio de cita médica,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1502,Confirmación de tu pedido,Aquí tienes el informe semanal de desempeño del equipo...,0
1503,Informe semanal de desempeño,Estos son los detalles de tu reserva para el evento del sábado...,0
1504,Resumen de cuenta mensual,"Hola, te confirmo que la reunión será el próximo lunes...",0
1505,Detalles de tu reserva,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1506,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1507,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1508,Confirmación de tu pedido,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1509,Confirmación de tu pedido,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1510,Actualización de política de privacidad,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1511,Consulta de seguimiento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1512,Actualización de política de privacidad,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1513,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1514,Información importante sobre tu seguro,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1515,Confirmación de tu pedido,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1516,Recordatorio de cita médica,Estos son los detalles de tu reserva para el evento del sábado...,0
1517,Informe semanal de desempeño,Estos son los detalles de tu reserva para el evento del sábado...,0
1518,Reunión de trabajo,"Hola, te confirmo que la reunión será el próximo lunes...",0
1519,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1520,Consulta de seguimiento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1521,Confirmación de tu pedido,"Hola, te confirmo que la reunión será el próximo lunes...",0
1522,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1523,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1524,Recordatorio de cita médica,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1525,Actualización de política de privacidad,"Hola, te confirmo que la reunión será el próximo lunes...",0
1526,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1527,Información importante sobre tu seguro,"Hola, te confirmo que la reunión será el próximo lunes...",0
1528,Recordatorio de cita médica,Estos son los detalles de tu reserva para el evento del sábado...,0
1529,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
1530,Actualización de política de privacidad,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1531,Detalles de tu reserva,Estás invitado a nuestro evento de networking el próximo viernes...,0
1532,Actualización de política de privacidad,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1533,Resumen de cuenta mensual,"Hola, te confirmo que la reunión será el próximo lunes...",0
1534,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1535,Recordatorio de cita médica,Estos son los detalles de tu reserva para el evento del sábado...,0
1536,Confirmación de tu pedido,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1537,Detalles de tu reserva,Te recordamos que tienes una cita médica programada para el martes...,0
1538,Reunión de trabajo,Te recordamos que tienes una cita médica programada para el martes...,0
1539,Reunión de trabajo,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1540,Información importante sobre tu seguro,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1541,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
1542,Información importante sobre tu seguro,Aquí tienes el informe semanal de desempeño del equipo...,0
1543,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1544,Invitación a evento,Te recordamos que tienes una cita médica programada para el martes...,0
1545,Invitación a evento,Te recordamos que tienes una cita médica programada para el martes...,0
1546,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1547,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1548,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
1549,Recordatorio de cita médica,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1550,Reunión de trabajo,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1551,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1552,Invitación a evento,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1553,Recordatorio de cita médica,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1554,Informe semanal de desempeño,Estos son los detalles de tu reserva para el evento del sábado...,0
1555,Reunión de trabajo,Estos son los detalles de tu reserva para el evento del sábado...,0
1556,Detalles de tu reserva,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1557,Reunión de trabajo,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1558,Consulta de seguimiento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1559,Información importante sobre tu seguro,Estos son los detalles de tu reserva para el evento del sábado...,0
1560,Invitación a evento,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1561,Reunión de trabajo,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1562,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
1563,Actualización de política de privacidad,Estos son los detalles de tu reserva para el evento del sábado...,0
1564,Reunión de trabajo,Estos son los detalles de tu reserva para el evento del sábado...,0
1565,Confirmación de tu pedido,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1566,Reunión de trabajo,Aquí tienes el informe semanal de desempeño del equipo...,0
1567,Informe semanal de desempeño,Estás invitado a nuestro evento de networking el próximo viernes...,0
1568,Reunión de trabajo,"Hola, te confirmo que la reunión será el próximo lunes...",0
1569,Actualización de política de privacidad,Aquí tienes el informe semanal de desempeño del equipo...,0
1570,Detalles de tu reserva,Estos son los detalles de tu reserva para el evento del sábado...,0
1571,Información importante sobre tu seguro,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1572,Actualización de política de privacidad,Estos son los detalles de tu reserva para el evento del sábado...,0
1573,Consulta de seguimiento,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1574,Consulta de seguimiento,Estos son los detalles de tu reserva para el evento del sábado...,0
1575,Invitación a evento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1576,Recordatorio de cita médica,Estás invitado a nuestro evento de networking el próximo viernes...,0
1577,Información importante sobre tu seguro,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1578,Información importante sobre tu seguro,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1579,Invitación a evento,Estos son los detalles de tu reserva para el evento del sábado...,0
1580,Recordatorio de cita médica,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1581,Detalles de tu reserva,Estás invitado a nuestro evento de networking el próximo viernes...,0
1582,Resumen de cuenta mensual,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1583,Reunión de trabajo,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1584,Invitación a evento,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1585,Confirmación de tu pedido,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1586,Resumen de cuenta mensual,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1587,Reunión de trabajo,Estos son los detalles de tu reserva para el evento del sábado...,0
1588,Confirmación de tu pedido,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1589,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1590,Consulta de seguimiento,Aquí tienes el informe semanal de desempeño del equipo...,0
1591,Detalles de tu reserva,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1592,Detalles de tu reserva,"Hola, te confirmo que la reunión será el próximo lunes...",0
1593,Informe semanal de desempeño,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1594,Reunión de trabajo,Estás invitado a nuestro evento de networking el próximo viernes...,0
1595,Actualización de política de privacidad,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1596,Recordatorio de cita médica,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1597,Confirmación de tu pedido,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1598,Confirmación de tu pedido,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1599,Invitación a evento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1600,Información importante sobre tu seguro,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1601,Invitación a evento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1602,Detalles de tu reserva,Te recordamos que tienes una cita médica programada para el martes...,0
1603,Informe semanal de desempeño,Aquí tienes el informe semanal de desempeño del equipo...,0
1604,Reunión de trabajo,Aquí tienes el informe semanal de desempeño del equipo...,0
1605,Reunión de trabajo,Te recordamos que tienes una cita médica programada para el martes...,0
1606,Detalles de tu reserva,"Hola, te confirmo que la reunión será el próximo lunes...",0
1607,Detalles de tu reserva,Aquí tienes el informe semanal de desempeño del equipo...,0
1608,Confirmación de tu pedido,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1609,Invitación a evento,Aquí tienes el informe semanal de desempeño del equipo...,0
1610,Consulta de seguimiento,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1611,Consulta de seguimiento,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1612,Información importante sobre tu seguro,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1613,Actualización de política de privacidad,Estos son los detalles de tu reserva para el evento del sábado...,0
1614,Consulta de seguimiento,Te recordamos que tienes una cita médica programada para el martes...,0
1615,Detalles de tu reserva,Te recordamos que tienes una cita médica programada para el martes...,0
1616,Confirmación de tu pedido,Aquí tienes el informe semanal de desempeño del equipo...,0
1617,Confirmación de tu pedido,Aquí tienes el informe semanal de desempeño del equipo...,0
1618,Informe semanal de desempeño,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1619,Actualización de política de privacidad,Estos son los detalles de tu reserva para el evento del sábado...,0
1620,Información importante sobre tu seguro,"Hola, te confirmo que la reunión será el próximo lunes...",0
1621,Reunión de trabajo,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1622,Recordatorio de cita médica,"Hola, te confirmo que la reunión será el próximo lunes...",0
1623,Invitación a evento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1624,Resumen de cuenta mensual,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1625,Invitación a evento,Estás invitado a nuestro evento de networking el próximo viernes...,0
1626,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
1627,Invitación a evento,Te recordamos que tienes una cita médica programada para el martes...,0
1628,Confirmación de tu pedido,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1629,Confirmación de tu pedido,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1630,Reunión de trabajo,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1631,Detalles de tu reserva,Te recordamos que tienes una cita médica programada para el martes...,0
1632,Información importante sobre tu seguro,Te recordamos que tienes una cita médica programada para el martes...,0
1633,Confirmación de tu pedido,Estás invitado a nuestro evento de networking el próximo viernes...,0
1634,Detalles de tu reserva,"Hola, te confirmo que la reunión será el próximo lunes...",0
1635,Invitación a evento,Aquí tienes el informe semanal de desempeño del equipo...,0
1636,Actualización de política de privacidad,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1637,Detalles de tu reserva,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1638,Recordatorio de cita médica,Aquí tienes el informe semanal de desempeño del equipo...,0
1639,Resumen de cuenta mensual,Te recordamos que tienes una cita médica programada para el martes...,0
1640,Detalles de tu reserva,Estos son los detalles de tu reserva para el evento del sábado...,0
1641,Reunión de trabajo,Te recordamos que tienes una cita médica programada para el martes...,0
1642,Informe semanal de desempeño,Te recordamos que tienes una cita médica programada para el martes...,0
1643,Informe semanal de desempeño,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1644,Información importante sobre tu seguro,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1645,Resumen de cuenta mensual,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1646,Informe semanal de desempeño,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1647,Detalles de tu reserva,Aquí tienes el informe semanal de desempeño del equipo...,0
1648,Invitación a evento,"Hola, te confirmo que la reunión será el próximo lunes...",0
1649,Invitación a evento,Estos son los detalles de tu reserva para el evento del sábado...,0
1650,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1651,Actualización de política de privacidad,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1652,Reunión de trabajo,Estos son los detalles de tu reserva para el evento del sábado...,0
1653,Consulta de seguimiento,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1654,Informe semanal de desempeño,Aquí tienes el informe semanal de desempeño del equipo...,0
1655,Reunión de trabajo,Te recordamos que tienes una cita médica programada para el martes...,0
1656,Informe semanal de desempeño,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1657,Información importante sobre tu seguro,Te recordamos que tienes una cita médica programada para el martes...,0
1658,Información importante sobre tu seguro,Te recordamos que tienes una cita médica programada para el martes...,0
1659,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1660,Reunión de trabajo,Estos son los detalles de tu reserva para el evento del sábado...,0
1661,Actualización de política de privacidad,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1662,Actualización de política de privacidad,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1663,Consulta de seguimiento,"Hola, te confirmo que la reunión será el próximo lunes...",0
1664,Actualización de política de privacidad,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1665,Consulta de seguimiento,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1666,Actualización de política de privacidad,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1667,Resumen de cuenta mensual,Te recordamos que tienes una cita médica programada para el martes...,0
1668,Informe semanal de desempeño,Estás invitado a nuestro evento de networking el próximo viernes...,0
1669,Reunión de trabajo,Estos son los detalles de tu reserva para el evento del sábado...,0
1670,Invitación a evento,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1671,Confirmación de tu pedido,Estos son los detalles de tu reserva para el evento del sábado...,0
1672,Informe semanal de desempeño,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1673,Actualización de política de privacidad,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1674,Reunión de trabajo,Aquí tienes el informe semanal de desempeño del equipo...,0
1675,Reunión de trabajo,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1676,Resumen de cuenta mensual,"Estimado cliente, revisa la nueva póliza de seguro que hemos actualizado...",0
1677,Actualización de política de privacidad,Te recordamos que tienes una cita médica programada para el martes...,0
1678,Resumen de cuenta mensual,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1679,Actualización de política de privacidad,Adjunto encontrarás la consulta de seguimiento que solicitaste...,0
1680,Consulta de seguimiento,Estás invitado a nuestro evento de networking el próximo viernes...,0
1681,Resumen de cuenta mensual,Estás invitado a nuestro evento de networking el próximo viernes...,0
1682,Actualización de política de privacidad,"A continuación, te enviamos el resumen de tu cuenta mensual...",0
1683,Detalles de tu reserva,Estás invitado a nuestro evento de networking el próximo viernes...,0
1684,Información importante sobre tu seguro,"Por favor, revisa la actualización de nuestra política de privacidad...",0
1685,Reunión de trabajo,Te recordamos que tienes una cita médica programada para el martes...,0
1686,Invitación a evento,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
1687,Recordatorio de cita médica,Gracias por tu compra. Tu pedido será enviado en las próximas 48 horas.,0
